split_dir,split_name,method,val_mae_mean,val_mae_std,val_mrae_mean,val_mrae_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mrae_mean,test_mrae_std,test_r2_mean,test_r2_std,val_mae_count,val_mrae_count,val_r2_count,test_mae_count,test_mrae_count,test_r2_count
category_no_pretrain,Hydrides,Random Forest,0.9241675619513676,,0.45279248919421594,,0.05189341278994142,,0.9241675619513676,,0.45279248919421594,,0.05189341278994142,,1,1,1,1,1,1
category_no_pretrain,Hydrides,Support Vector Regression,0.9416910966693981,,0.42703048105740293,,0.04443959991791602,,0.9416910966693981,,0.42703048105740293,,0.04443959991791602,,1,1,1,1,1,1
category_no_pretrain,Nitrides,ALIGNN,0.8272383809089661,,0.40760040283203125,,0.08063483238220215,,0.8272383809089661,,0.40760040283203125,,0.08063483238220215,,1,1,1,1,1,1
category_no_pretrain,Nitrides,CartNet,1.0918461084365845,,0.4671105146408081,,-0.5670998096466064,,1.0918461084365845,,0.4671105742454529,,-0.5671000480651855,,1,1,1,1,1,1
category_no_pretrain,Nitrides,CGCNN,1.0032967329025269,,0.5348594784736633,,-0.08584880828857422,,1.0032967329025269,,0.5348594784736633,,-0.08584880828857422,,1,1,1,1,1,1
category_no_pretrain,Nitrides,CHGNet,1.1814972162246704,,0.46828964352607727,,-0.6553113460540771,,1.1814972162246704,,0.46828970313072205,,-0.6553114652633667,,1,1,1,1,1,1
category_no_pretrain,Nitrides,LEFTNet,1.0032038688659668,,0.4650726914405823,,-0.13846361637115479,,1.0032038688659668,,0.46507275104522705,,-0.13846373558044434,,1,1,1,1,1,1
category_no_pretrain,Nitrides,Linear Regression,1.2755954265594482,,0.5612422823905945,,-0.7586050033569336,,1.2755954265594482,,0.5612422823905945,,-0.7586050033569336,,1,1,1,1,1,1
category_no_pretrain,Nitrides,Random Forest,1.0165484271269152,,0.7171538713072304,,-0.16237593382031967,,1.0165484271269152,,0.7171538713072304,,-0.16237593382031967,,1,1,1,1,1,1
category_no_pretrain,Nitrides,Support Vector Regression,0.8652961181851667,,0.5053097819274752,,0.07781309250418145,,0.8652961181851667,,0.5053097819274752,,0.07781309250418145,,1,1,1,1,1,1
category_no_pretrain,Oxides,ALIGNN,0.7538211345672607,,0.3137657940387726,,0.04352886974811554,,0.7538211345672607,,0.3137657940387726,,0.04352886974811554,,1,1,1,1,1,1
category_no_pretrain,Oxides,CartNet,1.0032755136489868,,0.35136693716049194,,-0.5526940822601318,,1.0032755136489868,,0.35136690735816956,,-0.5682661533355713,,1,1,1,1,1,1
category_no_pretrain,Oxides,CGCNN,0.8513365387916565,,0.3416203558444977,,-0.16300708055496216,,0.8513365387916565,,0.3416203558444977,,-0.16300708055496216,,1,1,1,1,1,1
category_no_pretrain,Oxides,CHGNet,0.9446685910224915,,0.3440321981906891,,-0.4244367778301239,,0.9446685910224915,,0.3440321981906891,,-0.4244367778301239,,1,1,1,1,1,1
category_no_pretrain,Oxides,LEFTNet,0.8496714234352112,,0.33406177163124084,,-0.17235374450683594,,0.8496714234352112,,0.33406180143356323,,-0.17235375940799713,,1,1,1,1,1,1
category_no_pretrain,Oxides,Linear Regression,0.7661460193311125,,0.3535898951420482,,0.0653304785256772,,0.7661460193311125,,0.3535898951420482,,0.0653304785256772,,1,1,1,1,1,1
category_no_pretrain,Oxides,Random Forest,1.040251243914673,,0.3504134086544194,,-0.6217874192412509,,1.040251243914673,,0.3504134086544194,,-0.6217874192412509,,1,1,1,1,1,1
category_no_pretrain,Oxides,Support Vector Regression,0.8256813731946433,,0.32051047371288655,,-0.05445947073687685,,0.8256813731946433,,0.32051047371288655,,-0.05445947073687685,,1,1,1,1,1,1
category_no_pretrain,Phosphides,ALIGNN,0.6013525724411011,,0.37558498978614807,,0.010621964931488037,,0.6013525724411011,,0.37558498978614807,,0.010621964931488037,,1,1,1,1,1,1
category_no_pretrain,Phosphides,CartNet,0.46072182059288025,,0.32312169671058655,,0.32697027921676636,,0.46072182059288025,,0.32312169671058655,,0.32697033882141113,,1,1,1,1,1,1
category_no_pretrain,Phosphides,CGCNN,0.5524799823760986,,0.42995014786720276,,0.028456151485443115,,0.5524799823760986,,0.42995014786720276,,0.028456151485443115,,1,1,1,1,1,1
category_no_pretrain,Phosphides,CHGNet,0.5976224541664124,,0.3879801332950592,,-0.08124136924743652,,0.5976224541664124,,0.3879801332950592,,-0.08124125748872757,,1,1,1,1,1,1
category_no_pretrain,Phosphides,LEFTNet,0.4354436695575714,,0.2911185622215271,,0.32720255851745605,,0.4354436695575714,,0.2911185324192047,,0.3272026777267456,,1,1,1,1,1,1
category_no_pretrain,Phosphides,Linear Regression,0.4197338658056871,,0.26776114294336634,,0.27388515034931726,,0.4197338658056871,,0.26776114294336634,,0.27388515034931726,,1,1,1,1,1,1
category_no_pretrain,Phosphides,Random Forest,0.5017460535238026,,0.37069727697409494,,0.2397095487897859,,0.5017460535238026,,0.37069727697409494,,0.2397095487897859,,1,1,1,1,1,1
category_no_pretrain,Phosphides,Support Vector Regression,0.48745935598947204,,0.2949393621165641,,0.27459731506005036,,0.48745935598947204,,0.2949393621165641,,0.27459731506005036,,1,1,1,1,1,1
category_no_pretrain,Silicides,ALIGNN,0.39296579360961914,,0.39998626708984375,,0.07777965068817139,,0.39296579360961914,,0.39998626708984375,,0.07777965068817139,,1,1,1,1,1,1
category_no_pretrain,Silicides,CartNet,0.9413039684295654,,1.0722087621688843,,-3.9523348808288574,,0.9413039684295654,,1.0722087621688843,,-3.952333927154541,,1,1,1,1,1,1
category_no_pretrain,Silicides,CGCNN,0.7876704931259155,,0.8671419024467468,,-2.059426784515381,,0.7876704931259155,,0.8671419024467468,,-2.059426784515381,,1,1,1,1,1,1
category_no_pretrain,Silicides,CHGNet,0.47363024950027466,,0.36013263463974,,-0.7424606084823608,,0.47363024950027466,,0.36013263463974,,-0.7424606084823608,,1,1,1,1,1,1
category_no_pretrain,Silicides,LEFTNet,0.3486809730529785,,0.4572073221206665,,0.20630425214767456,,0.3486810326576233,,0.4572073817253113,,0.2063043713569641,,1,1,1,1,1,1
category_no_pretrain,Silicides,Linear Regression,3.663048028945923,,4.0835466384887695,,-55.401214599609375,,3.663048028945923,,4.0835466384887695,,-55.401214599609375,,1,1,1,1,1,1
category_no_pretrain,Silicides,Random Forest,1.2229836960132348,,1.522744124768223,,-5.759135798233728,,1.2229836960132348,,1.522744124768223,,-5.759135798233728,,1,1,1,1,1,1
category_no_pretrain,Silicides,Support Vector Regression,1.3932877863526967,,1.7586726337507987,,-8.261412262535531,,1.3932877863526967,,1.7586726337507987,,-8.261412262535531,,1,1,1,1,1,1
finetune,,ALIGNN,0.5290326207876206,0.04680789605759095,0.26595449894666673,0.03172603719523471,0.48840848803520204,0.09594282380493353,0.5503302305936814,0.02998038007540646,0.27992838621139526,0.013045935249281807,0.40661223530769347,0.05101008656491968,10,10,10,10,10,10
finetune,,CartNet,0.6127292275428772,0.05748703317091585,0.3228705197572708,0.03293278663730329,0.2635250523686409,0.23371571649966214,0.6055115818977356,0.041891325399465135,0.30552518665790557,0.008594596175269717,0.27316313087940214,0.06181561977414194,10,10,10,10,10,10
finetune,,CGCNN,0.6209217548370362,0.07011494074922218,0.3222259134054184,0.05008558733604071,0.22684294879436492,0.2864633875638836,0.602999359369278,0.0383192020187706,0.29468888938426974,0.014243086810097219,0.23521726280450822,0.06793680703321522,10,10,10,10,10,10
finetune,,CHGNet,0.5348666608333588,0.052927351628238646,0.28923020213842393,0.03919481296659069,0.4723093509674072,0.1049018891196656,0.486237832903862,0.005097403375804481,0.2420806258916855,0.0038699348774259286,0.4866029739379883,0.013661444897553894,10,10,10,10,10,10
finetune,,LEFTNet,0.5195873796939849,0.04359109040355485,0.2799815222620964,0.0399243566584065,0.5122989535331726,0.10135063674433034,0.484590482711792,0.007069561542009652,0.24228681921958922,0.0031961871160707082,0.5074763566255569,0.01685651121679011,10,10,10,10,10,10
feature_ood,,ALIGNN,0.5236187875270844,0.034544159201607534,0.2638568416237831,0.02602687940662019,0.5169642865657806,0.0804581091634612,0.6494785428047181,0.041335329756945954,0.3229167699813843,0.011110444998557902,0.07019264107511844,0.0966967706637403,10,10,10,10,10,10
feature_ood,,CartNet,0.6554544568061829,0.19635355768091284,0.33561999499797823,0.059957097760131174,-3.853409670293331,13.269533651109073,0.6797076344490052,0.02615681549680952,0.3339249432086945,0.010727199263088804,-0.04116961024701595,0.08206801277535519,10,10,10,10,10,10
feature_ood,,CGCNN,0.5869574010372162,0.0398256019865177,0.31687450110912324,0.03837389004641004,0.30600539557635786,0.2341168749314172,0.6593388915061951,0.023397297630911324,0.3362853616476059,0.010938781853322624,0.019811547850258647,0.0406084255373892,10,10,10,10,10,10
feature_ood,,CHGNet,0.5243914932012558,0.02921642305664449,0.28440707474946975,0.02923614027350054,0.4985517203807831,0.07612499122435214,0.612034022808075,0.00928897079016621,0.32146377563476564,0.004020791046887779,0.11620608642697335,0.037777220664519454,10,10,10,10,10,10
feature_ood,,LEFTNet,0.5203997641801834,0.030260795948454072,0.2804574817419052,0.0315374981175408,0.5162301570177078,0.07063553447621489,0.551812881231308,0.00848376330148658,0.2805849194526672,0.0030485900559704816,0.32078048288822175,0.013449347977798037,10,10,10,10,10,10
